,BLANK_16S_1,BLANK_16S_2,PCR_BLANK_16S,X1_HI_N_HA_16S,X10_HI_HK_16S,X100_HI_HK_16S,X101_HI_HK_16S,X102_HI_HK_16S,X103_HI_HK_16S,X104_HI_HK_16S,X105_HI_HK_16S,X11a_HI_HK_16S,X11b_HI_HK_16S,X12_HI_HK_16S,X13_HI_HK_16S,X14_HI_HK_16S,X15_HI_HK_16S,X16_HI_HK_16S,X17_HI_HK_16S,X18_HI_HK_16S,X19_HI_HK_16S,X2_HI_N_HA_16S,X20_HI_HK_16S,X21_HI_HK_16S,X23_HI_HK_16S,X24_HI_HK_16S,X25_HI_HK_16S,X26_HI_HK_16S,X27_HI_HK_16S,X29_HO_PH_16S,X3_HI_N_HA_16S,X30_HO_PH_16S,X31_HO_PH_16S,X32_HO_PH_16S,X33_HO_PH_16S,X34_HO_PH_16S,X35_HO_PH_16S,X36_HO_PH_16S,X37_HO_PH_16S,X38_HO_PH_16S,X39_HO_PH_16S,X4_HI_N_HA_16S,X40_HO_PH_16S,X41_HO_HA_16S,X42_HO_PH_16S,X43_HO_PH_16S,X44_HO_PH_16S,X45_HO_PH_16S,X46_HO_PH_16S,X47_HO_PH_16S,X48_MA_KP_16S,X49_MA_KP_16S,X50_MA_KP_16S,X51_MA_KP_16S,X52_MA_KP_16S,X53_MA_KP_16S,X54_MA_KP_16S,X55_MA_KP_16S,X56_MA_KP_16S,X57_MA_KP_16S,X58_MA_KP_16S,X59_MA_KP_16S,X60_MA_KP_16S,X61_MA_KP_16S,X62_MA_KP_16S,X63_MA_KP_16S,X64_MA_KP_16S,X65_MA_KP_16S,X66_MA_KP_16S,X67_MA_KP_16S,X68_MA_KP_16S,X69_MA_KP_16S,X7_HI_HK_16S,X70_MA_KP_16S,X71_CA_BK_16S,X72_CA_BK_16S,X73_CA_BK_16S,X74_CA_BK_16S,X75_CA_BK_16S,X76_CA_BK_16S,X77_CA_BK_16S,X78_CA_BK_16S,X79_CA_BK_16S,X8_HI_HK_16S,X80_CA_BK_16S,X81_CA_BK_16S,X82_CA_BK_16S,X83_CA_BK_16S,X84_CA_BK_16S,X85_CA_BK_16S,X86_CA_BK_16S,X87_CA_BK_16S,X88_CA_BK_16S,X89_CA_BK_16S,X9_HI_HK_16S,X90_CA_BK_16S,X91_CA_BK_16S,X92_CA_BK_16S,X93_CA_BK_16S,X94_CA_BK_16S,X95_CA_BK_16S,X96_CA_BK_16S,X97_HI_HK_16S,X98_HI_HK_16S,X99_HI_HK_16S
e8a434d80a9cc82075b2e79096eab0fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0,71,10,0,94,0,125,0,29,0,0,4,0,15,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e5d2666c4972387985d8be90799e0e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d24e0b42f1717e1ad1342c4d7ef2831b,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
51c660fa42693f10cac5072250b56544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
e9b97b4adc1586afca1347ab928361f4,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
e3d3bc8165e13ff394b2a2852a9cfeb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6d94d579c36694a0fcfbf30eb810c0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c9a4df1d9346ff65338bb9399d20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8db98d9ff8dbd62e13a86f733d9f53ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58d21597f4be9a2f2d0b85b66f460f1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
