,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
e32888497f0fc1853ea8595de30bbe69,k__Bacteria, p__Chloroflexi, c__TK10, o__AKYG885, f__Dolo_23, g__, s__,0.994891354
e5b1519936d5eb7cb3d1cc5f42efc465,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae,,,0.996934222
e8314fdb7656cf65add419e709a76c2b,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae], g__WAL_1855D, s__,0.999999989
e9344a399d3d275f9cd82d59dfc33871,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.999896689
f1aa264ddf03fe8ce30db6cfd608787d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.746633775
f4c260942c389b66f93771ed358326bb,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Phenylobacterium, s__,0.997967676
fbb75db788f3195be2faa0ca39c7cd6d,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__, s__,0.952403502
fd0553dbc0508b99d27d1d7b9d8f24db,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Ramlibacter, s__,0.969525145
00bd02e19ba117c9a6ed2985fdf25ac7,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.980396784
010a6fd3b715d29a9d9dd918523a33c5,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__,0.963266238
02e789d1ec9a8e6890af6ac0aa26b288,k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__Gemmatimonadales, f__Ellin5301, g__, s__,0.786405766
04b3910e1123f5ecd0bfc4e58afc7541,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Azohydromonas, s__,0.921249243
052ec5e7c9f4bcea70e60f47be9fec88,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__, g__, s__,0.995239718
0663356ebf8ef4c3680f55edf42fb15d,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Gaiellales, f__Gaiellaceae, g__, s__,0.999489619
07dafcca4509969878533baf32a83cb5,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__, s__,0.997652068
081bfe74873889000b59749f32cec714,k__Bacteria, p__TM7, c__TM7-1, o__, f__, g__, s__,0.951898084
0a4dcbc36280b3a35cb041af0e72d80a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Parabacteroides, s__,0.999650721
0b624f9cb9d8620b720bd64227ee2ec5,k__Bacteria, p__Chloroflexi, c__Thermomicrobia, o__JG30-KF-CM45, f__, g__, s__,0.991760988
0b7c2a5705a3fe7e8561eaf799d54877,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__Novispirillum, s__,0.999629889
0ec41b2f3976d01426f09f874885dec1,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__,0.969493402
14f607d42e11ea829c67cfa038f5cc55,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae, g__Paenibacillus, s__,0.950190039
1515a0bfa7b7b96160b2411c53098973,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__badius,0.999715815
15bf0f9cea83f5a83501952c436cbfeb,k__Bacteria, p__Armatimonadetes, c__Armatimonadia, o__Armatimonadales, f__Armatimonadaceae, g__, s__,0.99948052
170cfab9982555816165f40ae3f49090,k__Bacteria, p__Gemmatimonadetes, c__Gemm-3, o__, f__, g__, s__,0.997370192
1b4e385b4cbd45608ab15d07d29a809a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,,0.985850271
1c609ae995871cbcae1bcb705a7e410d,k__Bacteria,,,,,,,0.989328243
1ff981df1aa07ea19635aba8b3056d30,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,,,0.993913423
24adb27c388c651e31baea60595fa7df,k__Bacteria, p__Tenericutes, c__Mollicutes, o__RF39, f__, g__, s__,0.91581742
258552601d73ecd886c3a7da6c0f0c62,k__Bacteria, p__Actinobacteria, c__Rubrobacteria, o__Rubrobacterales, f__Rubrobacteraceae, g__, s__,0.999624727
276fa17133a8ddcc2978a87169424c50,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__,0.99981907
2cb91ecfa5149c528a2633f470ac44f3,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__,0.994840114
2e7c60c2ad5ab9dd55921ceba4fe7485,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales,,,,0.997578346
328786ce76f1f6896b511e5d47dd6a80,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.998813517
3388ebcbda1a8fad86db0bf02b4078b8,k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__DS-100, f__, g__, s__,0.999983742
34f40f6ed8d1536c48105cf405eeac6a,k__Bacteria, p__Bacteroidetes,,,,,,0.760699474
37359f408e6a613bafd805a70cd4f781,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,0.99984059
39381c97e47474341dd7af757da56b6c,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Mycobacteriaceae, g__Mycobacterium, s__vaccae,0.751580542
3bc60eecd7a5713cbbe3b9f563692cba,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Koribacteraceae, g__, s__,0.931132376
3c42042e7d5cf2b08e5584ad2873b269,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__bowmanii,0.998597039
3e5d2666c4972387985d8be90799e0e6,k__Bacteria, p__Planctomycetes, c__BD7-11, o__, f__, g__, s__,0.98932267
3f0ac84aa55d6bc4ef74a477d4888c1c,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Sporolactobacillaceae, g__Pullulanibacillus, s__,0.999847114
40154d875622743f18db2c26110cfcf3,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae,,,0.999656257
4797d83ff89e7db226e008f6555dfd15,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Streptophyta, f__, g__, s__,0.978015876
49747e266f6f79fddddce35d9dbbf4e6,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__barnesiae,0.999997872
49ccfa38cb61297ec42fd03a91e7b8ef,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__,0.82540372
49fea23b8b474ef5d81dc617af1f9727,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__,0.73245496
4e0a543a0e5b22ebc2d3a7b42b53bbdd,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Flectobacillus, s__,0.999543099
51080976c9b42888caad6084914bdbcc,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus,,0.769905684
521f470fb020b0f303abea2afded4769,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae,,,0.980785996
5860e42815a341031895cc1d9d06ea11,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Rhizobium, s__,0.890709223
5be8f4f70e430f5957a0ce595b80465a,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,,0.99864706
5c6819270c790e135f05754f4577046a,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermacoccaceae, g__Dermacoccus, s__,0.993099983
5cd5b232b430a45f66cbe7fdf7dc875d,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Sphingobacterium, s__,0.999385249
5e8c76c6cd3ad1fb52403cd3b8f521ab,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Odoribacteraceae], g__Odoribacter, s__,0.994606335
607c4dab2bf9e8d1321faf84322493f6,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria,,,,,0.844987337
616f1a76d767c31877781815bbdac459,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Nesterenkonia, s__,0.968919063
62490cf171ec724c6190dff9ab721ad8,k__Bacteria,,,,,,,0.999995704
6497387eb8a94a76b3e92b5bdec521ca,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae,,,0.998746146
6756bea73a09cbd7a57ebe695ca2c612,k__Bacteria,,,,,,,0.989056366
67f86bffeae7e3acbb73a7560143fe8e,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Wautersiella, s__,0.99998079
6a8eb69b3f0d2f4bad9dc95dd9f95c9e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Curtobacterium, s__,0.972994597
6e5560e8c6389b7540b2cff746c31d81,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales,,,,0.996714232
6f58e1a9a003837297bab575aa74fb04,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae,,,0.917130761
7247fa5b17ad14e3f9301c506864254c,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Spirosoma, s__,0.99999985
7409b5a7cde7890965248daee467d1a6,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae,,,0.996458475
76e4a3e979c0a3029aad8815b7492fe4,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Kineosporiaceae,,,0.763680578
796780a67c48df8cf8512239a9a1c412,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__,0.935074775
79cd6a9fe2f5068c8a5a741b189126a2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Novosphingobium,,0.988582567
7d69f0400ba30fd96dbb48ebb3c15e46,k__Bacteria,,,,,,,0.993475004
7e5c9685313a1f64c3c61103a374b12d,k__Bacteria,,,,,,,0.85228625
80f95df24668f12495d562b37ced413e,k__Bacteria,,,,,,,0.998784317
81ddaa9d24a1205b552becc12e21e3c7,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__,0.996972083
821e346218bc31fba92b66459aefb995,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Thermomonas, s__fusca,0.774398795
82d0cb96ad39498741e47ba802818f51,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae, g__Actinotalea, s__,0.773279199
83919dc7e9cc97733e402a39b03cbce3,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Pedobacter,,0.999614128
841d905ae102c0ff95e52345ea97a5b5,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae, g__Knoellia, s__,0.994442019
8569f171cba84c20c26e8cf87dd71e70,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__, g__, s__,0.891959529
87252aa99c8e11716b651a13304777d5,k__Bacteria,,,,,,,0.857550344
88bd19ecb46adf9da0d0d9d95b37307d,k__Bacteria, p__TM7, c__TM7-3, o__, f__, g__, s__,0.999889064
9012ec646545d30875a7b24b9e02d65f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,,,0.999382672
903d5d00383dfc27703c475081111bb3,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__,0.999779469
94df6d34bf2f2ec71795c6c1191612c9,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__, g__, s__,0.801077793
951d9d612b6a3f097585827adeb8af65,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,,0.999880407
95e6efa2964fecf136a01dfa474f664a,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__,0.94126599
977eff83a7d542154950914727d8c667,k__Bacteria, p__Cyanobacteria,,,,,,0.999383285
97e1de783350155cd5fff770cc8621c2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Aurantimonadaceae, g__, s__,0.781701052
97ea7d9037385dbdaedb1fea6ae256ff,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.986131627
985e84d781a43b52ab485eee6e1544f5,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__, s__,0.877341385
9991a26540a04b451a5af0da0e29ba83,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.991648866
9afb35e261d544d4dba289782c120c64,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__,0.923282357
9c3e22d3460e369548ac3303c8c9a009,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Geobacillus, s__,0.980570013
9fb09705a481921fa72b7c60515a6594,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria,,,,,0.991206528
a1cbf9b0367146f311c684ba8419d6af,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__,0.78012688
a3a4eb2cb8358ad5686916882e58eaba,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__SMB53, s__,0.814074048
a527ff40cb7481825a0583e32aa0f07e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae, g__Actinotalea, s__,0.999225875
a934de98875ba7b78bed603263528f5e,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Beijerinckiaceae, g__Chelatococcus, s__,0.992059686
a9fbb995764cbb161003a2ca319d7782,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,,0.999209751
ab4bba811eeb8f3b60b10260c35b4f46,k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__Ellin5290, f__, g__, s__,0.835808817
af34b5f89f2be29be2d59da6579299bb,k__Bacteria,,,,,,,0.991859471
afd2d7201a1f6afbd10600093daa111e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae, g__Couchioplanes, s__,0.965843156
b178df608da5c9b3ab3d320d3c0235b7,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__, g__, s__,0.944445374
b3b555779feb35c4c521b49fdead1b86,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae,,,0.967075754
b51830c1650ca1727d60023196372e6a,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae, g__Microbacterium, s__,0.88763239
b52c36d035e7e63c9539201f72521a1b,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__[Chromatiaceae], g__Rheinheimera, s__nanhaiensis,0.779044149
b92dd890b2ab49d35b25b3477b1aff2e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,,0.995022034
b9675f0b0288fca895c91cb5fe2233ee,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Ralstonia, s__,0.887560716
b9b58ea410fcf3c7cacd099e3d2b7b4a,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,0.795340138
bab490a4aeb641d3a5311332be4c9286,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Rhodocytophaga, s__,0.999928615
bcc469b83dd1483899a443ea1e349a5a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae, g__Methylobacterium, s__organophilum,0.848701108
c219108a9abcd4606cd8c6ea07027b0d,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__, g__, s__,0.894663666
c7f1abff05c3a02cbfab31550e893463,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,0.955860701
ca91f3c81ec20ecc5014e6711663272e,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__, g__, s__,0.96660016
ccaf1c65ea41fa1de9174426274ba0ec,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Solirubrobacteraceae, g__Solirubrobacter, s__,0.96943924
cd73e42a5435798a523f5e8d1960b857,k__Bacteria, p__Actinobacteria, c__MB-A2-108, o__0319-7L14, f__, g__, s__,0.999736439
d01a12664f7041dec15193f327751979,k__Bacteria, p__TM7, c__TM7-1, o__, f__, g__, s__,0.992643356
d215f8002924e79eff0495238f4e2efd,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__, g__, s__,0.822003421
d236dffe92d393f9b4586673f1056219,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__tyrobutyricum,0.999996395
d36f687fbff038e88636cedcaa559e88,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermacoccaceae, g__Dermacoccus, s__,0.992189164
d5ba8bc7b530964c085df98bc7166f40,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__stercorea,0.999995634
d6414959f1d926242381b9f4288dbb11,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Sinobacteraceae, g__, s__,0.999777593
d82bef827f05d87b35a614ffa1253da2,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__,0.995650881
dbea635e4600714e36ffd27fa8465219,k__Bacteria,,,,,,,0.962033943
dcc0af8bcdeb1f097119e4553828d4f6,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae,,,0.757344113
e2d24c93aaca8f43d423c2ea16900ef3,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.999837718
e4d3f750a49366169ac5c0ca88a4877d,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__plebeius,0.999979765
e5993b8e93a0a2181c854736128f52e3,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae, g__Vitreoscilla, s__,0.999883513
e68b07eb5f7d0c72b88fecb36f35d61f,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__,0.9846824
e846bc4dab3d98263eb60504d34f9e13,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae,,,0.987574966
ead3069e53b200c79f6bf030698f880c,k__Bacteria, p__OD1, c__ZB2, o__, f__, g__, s__,0.999961515
ed0f0a03e0a00f501f951c5005ede8a7,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Enhydrobacter, s__,0.797508918
ed1561548abfeeb9847176a56ad80942,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.999984395
f5e7ae646bdcc475877ef4fa4ed4debd,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__, s__,0.991924564
f6a682b6582832bcd0930f88f2f24cde,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__, f__, g__, s__,0.983598507
f80a668f32b8c6025fda5f8d6e4e62bc,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Mobiluncus, s__,0.999999859
f8274aba6328333b35150a985f6e806d,k__Bacteria, p__Chloroflexi, c__Thermomicrobia, o__JG30-KF-CM45, f__, g__, s__,0.999963609
fa47194e47d12b1fb15c2be82a706ccd,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus,,0.953956324
fc9a2247fa1eda30c71638d8816ce6e8,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Methylophilales, f__Methylophilaceae, g__Methylotenera, s__mobilis,0.999847333
fd0187bd1a75396e2de6efb740eb7cfb,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales,,,,0.972893035
01bea91124612ff57d5593dea7e8a5e1,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__, g__, s__,0.976416236
01bfb58b33c56af180a27e7767b43e7a,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Frankiaceae, g__, s__,0.708396175
01e00fbaaee3f0bea0e1e41085d69f11,k__Bacteria, p__Verrucomicrobia, c__[Pedosphaerae], o__[Pedosphaerales], f__, g__, s__,0.708188637
05fd738ae2ecb52ad02880e4402c5f62,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__, s__,0.98390607
072a6d5364cbd49c4f891961c18340b0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae,,,0.999997085
084daa6b4a51d072d87a702c89969636,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__, g__, s__,0.995120168
0d0558b40d86404d00d156f27a8da287,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales,,,,0.989450411
0d90757e65f618cdf659760ec068a724,k__Bacteria, p__Firmicutes, c__Bacilli, o__Gemellales, f__Gemellaceae, g__Gemella, s__,0.850732979
110fecf8d13d938294452d40e0886d2b,k__Bacteria,,,,,,,0.991283013
12e85b612573bfdf50db589f5dd64d3b,k__Bacteria, p__OD1, c__, o__, f__, g__, s__,0.752726745
1328b44cb800c6c9046cdc386e6a63f2,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae,,,0.999740205
15cffd3a8217694c8f29ce41581a2823,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae, g__Friedmanniella, s__,0.957731319
1852c72557c965198195e97acb9cd04c,k__Bacteria, p__Chloroflexi, c__Gitt-GS-136, o__, f__, g__, s__,0.999958683
1995834fd394fe12072ae9385c687619,k__Bacteria, p__OD1, c__, o__, f__, g__, s__,0.83625458
1ce13fe00374dcc7d0b5025745184d00,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae, g__Magnetospirillum, s__magnetotacticum,0.712890746
20cb8cf9a2b90f1cb1353a40acf29ca8,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,,,0.96810781
21d67485504202a073d5c3cda478193c,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Clostridium,,0.849574081
21f79e806d07f3b23fa143666c151698,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Solirubrobacteraceae, g__, s__,0.952572364
226723e325e89c3407147972506a1137,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__,0.996834731
22d0ee6b31857ed430cdf82c921ff490,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae,,,0.796519353
2477c80bc6b01b557d1fa4a1be85ba29,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae, g__Phormidium, s__,0.766980944
27bab8b5b32803501041d06b249c278a,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Elizabethkingia, s__meningoseptica,0.999445598
285fd050f9beb6186dfdd839082db82e,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae, g__Actinomycetospora, s__,0.986226081
29df02b8637edfc9b89340b4764009f5,k__Bacteria, p__Bacteroidetes,,,,,,0.984015053
2d9046b9e8cec29d8ed901fe99e68f22,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__, s__,0.876734705
31f993065287bb0416771d0d81b7abf6,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__, s__,0.849170523
3241451e381a91e27fecf468e8087864,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae,,,0.896067162
34e1af963f3fb2ddbd9853bfb7800f73,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae, g__Hymenobacter, s__,0.999984069
37f1488c9817bab53c726b427c1dd888,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales,,,,0.989239041
3a3117784119a5fb3ef86dbc1edea763,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Trueperella, s__,0.999201379
3aff6913ab8d115fe5813b4ac7d2d40d,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Comamonas, s__,0.994121707
3b14c2a842088969643c0b54eee58e46,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Alkanindiges, s__illinoisensis,0.992116347
3f572dfa44fd7a1b272f2010204f6543,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__, s__,0.877426149
401efdaa41e5e7818b7cee256260295a,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae,,,0.999276264
41472f61b6213346a9d524ca98b06d69,k__Bacteria, p__Acidobacteria, c__[Chloracidobacteria], o__RB41, f__Ellin6075, g__, s__,0.999472098
