,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
d84df7c221e26cce01111b75606b0da9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__,0.866280361
562002978aa38e29640f643bfece5971,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__Sediminibacterium, s__,0.996171423
bee5276c0a8fd932c4383e078ce7fd2d,k__Bacteria, p__, c__, o__, f__, g__, s__,0.799870647
c9c926e60f9735e0b9f335565c96a735,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Herminiimonas, s__glaciei,0.825176006
7b1f2609cf8e4c3b4d8f676c1c5a1e41,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Candidatus Phlomobacter, s__,0.872592486
8d3e1ed8950460c6e0866d9120be0a34,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae,,,0.989811881
1a0b24cefc591e37d6cab8cd82390be5,k__Bacteria,,,,,,,0.993313502
a50e9c0b5d6216a4fcf51922e623348d,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Delftia, s__,0.999305801
9c3e648927a2024eec07e27b3a3e2393,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__yabuuchiae,0.999674041
4036d7d073679e836ef1fe245f32446f,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Pelomonas,,0.972945842
168d8ecb915b789313e529ad2dddc777,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,0.9978403
30fb74082b7a69f59c2888f831aebbe3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Brevundimonas,,0.913900465
f576ee279c75c6d4af79d70fa6a6332e,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Streptophyta, f__, g__, s__,0.991639555
56852cb102b94d16a9623ea280168ed6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,,0.979288373
975843aeb094b3550b92a6a963af3478,k__Bacteria,,,,,,,0.991854345
9bb593710c4ac04ec2cfc9bcba3109af,k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__MLE1-12, f__, g__, s__,0.986486066
0b96f2fa2517cec430a2e1353864d845,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,,0.999411408
827988f78e5bb3d513296a5d96a32bbf,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__, s__,0.969236357
c7e9ec86138c7655e9349c6b0385f82c,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Agrobacterium, s__,0.889955499
1463317b5cfdb8a762356f3060219a9f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingopyxis,,0.758681628
5fd9d4aa99dbdf9675154f945a8720c3,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__veronii,0.80605525
b4058b37e9a6d4ac58f67054bab29174,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Ellin329, f__, g__, s__,0.997508081
0448360282805c213310370790bb4617,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,,0.99999982
d8aad6201c19d390b2e3c76be68120ef,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__,0.85729933
230063466e03e7067a502262d238f239,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingopyxis, s__alaskensis,0.858206092
e54ec2f1b9e3a9ad4ded12024b7a8b8d,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__,0.991006079
8054f654062c3ac76111c3e42fedbb6f,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Enhydrobacter, s__,0.944189525
27b3cc38864b64b839255c6249cb3881,k__Bacteria, p__OD1,,,,,,0.713510261
61f45458f0ef6fb94817b9b9ed4d70d0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Cloacibacterium, s__,0.999933716
79f69699462c167b8803746d7ebcff34,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae, g__Mesorhizobium,,0.985830001
ab025a421daac1f16b5802a5708b3d72,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus, s__,0.87845815
